,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Unnamed: 10,SeriesFirstDown,Unnamed: 12,NextScore,Description,TeamWin,Unnamed: 16,Unnamed: 17,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
15,2020122602,2020-12-26,4,5,33,MIA,LV,1,10,65,,1,,0,(5:33) (SHOTGUN) 14-R.FITZPATRICK PASS DEEP MIDDLE TO 88-M.GESICKI TO LV 4 FOR 31 YARDS (54-R.MCMILLAN).,0,,,2020,31,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
18,2020122704,2020-12-27,1,0,42,NYJ,CLE,1,10,57,,1,,0,"(:42) 82-J.CROWDER PASS DEEP RIGHT TO 10-B.BERRIOS FOR 43 YARDS, TOUCHDOWN.",0,,,2020,43,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
81,2020122711,2020-12-27,3,7,12,LA,SEA,2,8,66,,1,,0,(7:12) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 89-T.HIGBEE TO SEA 12 FOR 22 YARDS (54-B.WAGNER).,0,,,2020,22,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,34,OPP,0,,0,,0
85,2021010301,2021-01-03,1,3,6,CAR,NO,2,6,67,,1,,0,(3:06) 5-T.BRIDGEWATER PASS DEEP RIGHT TO 10-C.SAMUEL PUSHED OB AT NO 8 FOR 25 YARDS (27-M.JENKINS).,0,,,2020,25,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,33,OPP,0,,0,,0
136,2021010311,2021-01-03,2,11,21,LV,DEN,3,2,72,,1,,0,"(11:21) (SHOTGUN) 4-D.CARR PASS DEEP RIGHT TO 83-D.WALLER FOR 28 YARDS, TOUCHDOWN [97-J.ATTAOCHU].",0,,,2020,28,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
151,2021010311,2021-01-03,1,2,9,DEN,LV,2,9,63,,1,,0,(2:09) (SHOTGUN) 3-D.LOCK PASS SHORT RIGHT TO 81-T.PATRICK TO LV 8 FOR 29 YARDS (26-N.LAWSON).,0,,,2020,29,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,37,OPP,0,,0,,0
194,2021010313,2021-01-03,2,0,55,JAX,IND,1,10,70,,1,,0,(:55) (SHOTGUN) 2-M.GLENNON PASS DEEP MIDDLE TO 14-T.GODWIN TO IND 9 FOR 21 YARDS (32-J.BLACKMON).,0,,,2020,21,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
214,2021010315,2021-01-03,4,1,4,SF,SEA,1,10,54,,1,,0,"(1:04) (NO HUDDLE, SHOTGUN) 3-C.BEATHARD PASS SHORT RIGHT TO 84-K.BOURNE TO SEA 25 FOR 21 YARDS (26-SQ.GRIFFIN).",0,,,2020,21,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,46,OPP,0,,0,,0
232,2021010312,2021-01-03,3,3,6,HOU,TEN,1,10,80,,1,,0,"(3:06) 4-D.WATSON PASS DEEP RIGHT TO 13-B.COOKS FOR 20 YARDS, TOUCHDOWN.",0,,,2020,20,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,20,OPP,0,,0,,0
239,2021010312,2021-01-03,3,8,15,HOU,TEN,1,10,62,,1,,0,"(8:15) 4-D.WATSON PASS DEEP MIDDLE TO 13-B.COOKS FOR 38 YARDS, TOUCHDOWN. HANDOFF TO 31-JOHNSON; PITCH TO 4-WATSON",0,,,2020,38,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,38,OPP,0,,0,,0
271,2021010314,2021-01-03,4,12,15,ARI,LA,1,10,56,,1,,0,(12:15) (SHOTGUN) 1-K.MURRAY PASS DEEP MIDDLE TO 85-D.ARNOLD TO LA 19 FOR 25 YARDS (31-D.WILLIAMS).,0,,,2020,25,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,44,OPP,0,,0,,0
292,2021010310,2021-01-03,4,3,2,TB,ATL,3,2,70,,0,,0,"(3:02) (SHOTGUN) 12-T.BRADY PASS SHORT RIGHT TO 81-A.BROWN FOR 30 YARDS, TOUCHDOWN. PENALTY ON ATL-26-I.OLIVER, DEFENSIVE HOLDING, DECLINED.",0,,,2020,30,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,1,0,0,,30,OPP,0,ATL,0,DEFENSIVE HOLDING,0
300,2021010306,2021-01-03,3,0,55,LAC,KC,2,9,52,,1,,0,"(:55) 10-J.HERBERT PASS DEEP LEFT TO 81-M.WILLIAMS FOR 48 YARDS, TOUCHDOWN.",0,,,2020,48,UNDER CENTER,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
337,2021010314,2021-01-03,3,11,14,LA,ARI,2,10,100,,1,,0,(11:14) (SHOTGUN) 9-J.WOLFORD PASS DEEP RIGHT TO 89-T.HIGBEE TO ARI 24 FOR 26 YARDS (32-B.BAKER).,0,,,2020,26,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
341,2021010314,2021-01-03,2,0,37,ARI,LA,2,7,68,,1,,0,"(:37) 15-C.STREVELER PASS DEEP RIGHT INTENDED FOR 16-T.SHERFIELD INTERCEPTED BY 22-T.HILL AT LA 16. 22-T.HILL FOR 84 YARDS, TOUCHDOWN.",0,,,2020,84,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,32,OPP,0,,0,,0
484,2020122011,2020-12-20,2,14,9,PHI,ARI,3,20,68,,1,,0,"(14:09) (SHOTGUN) 2-J.HURTS PASS SHORT LEFT TO 80-Q.WATKINS FOR 32 YARDS, TOUCHDOWN.",0,,,2020,32,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,32,OPP,0,,0,,0
503,2020122012,2020-12-20,1,2,9,KC,NO,2,10,59,,1,,0,"(2:09) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 11-D.ROBINSON RAN OB AT NO 18 FOR 23 YARDS (20-J.JENKINS). PASS 8, YAC 15",0,,,2020,23,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,41,OPP,0,,0,,0
520,2021010305,2021-01-03,1,4,53,DET,MIN,1,10,57,,1,,0,"(4:53) (SHOTGUN) 9-M.STAFFORD PASS DEEP RIGHT TO 11-M.JONES FOR 43 YARDS, TOUCHDOWN.",0,,,2020,43,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
553,2021010311,2021-01-03,4,1,33,LV,DEN,1,10,70,,1,,0,(1:33) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 83-D.WALLER TO DEN 9 FOR 21 YARDS (47-J.JEWELL).,0,,,2020,21,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,30,OPP,0,,0,,0
